FIPS,Confirmed,Deaths,Recovered,Active,Date
19023.0,0,0,0,0,03-23-2020
20015.0,3,0,0,0,03-23-2020
21031.0,0,0,0,0,03-23-2020
29023.0,0,0,0,0,03-23-2020
31023.0,0,0,0,0,03-23-2020
39017.0,17,0,0,0,03-23-2020
42019.0,5,0,0,0,03-23-2020
6007.0,2,0,0,0,03-23-2020
16023.0,0,0,0,0,03-23-2020
46019.0,0,0,0,0,03-23-2020
13035.0,2,0,0,0,03-23-2020
37025.0,6,0,0,0,03-23-2020
54011.0,0,0,0,0,03-23-2020
49005.0,3,0,0,0,03-23-2020
22017.0,34,0,0,0,03-23-2020
40015.0,0,0,0,0,03-23-2020
6009.0,2,0,0,0,03-23-2020
22019.0,4,0,0,0,03-23-2020
21033.0,0,0,0,0,03-23-2020
22021.0,0,0,0,0,03-23-2020
29025.0,0,0,0,0,03-23-2020
37027.0,0,0,0,0,03-23-2020
48055.0,0,0,0,0,03-23-2020
50005.0,1,0,0,0,03-23-2020
1015.0,2,0,0,0,03-23-2020
5013.0,0,0,0,0,03-23-2020
12013.0,0,0,0,0,03-23-2020
13037.0,0,0,0,0,03-23-2020
17013.0,0,0,0,0,03-23-2020
19025.0,0,0,0,0,03-23-2020
26025.0,3,0,0,0,03-23-2020
28013.0,0,0,0,0,03-23-2020
45017.0,1,0,0,0,03-23-2020
48057.0,0,0,0,0,03-23-2020
54013.0,0,0,0,0,03-23-2020
48059.0,0,0,0,0,03-23-2020
29027.0,1,0,0,0,03-23-2020
21035.0,1,0,0,0,03-23-2020
55015.0,1,0,0,0,03-23-2020
24009.0,1,0,0,0,03-23-2020
16025.0,0,0,0,0,03-23-2020
42021.0,1,0,0,0,03-23-2020
13039.0,0,0,0,0,03-23-2020
29029.0,1,0,0,0,03-23-2020
34007.0,33,1,0,0,03-23-2020
37029.0,0,0,0,0,03-23-2020
22023.0,0,0,0,0,03-23-2020
42023.0,0,0,0,0,03-23-2020
48061.0,6,0,0,0,03-23-2020
48063.0,0,0,0,0,03-23-2020
21037.0,0,0,0,0,03-23-2020
46021.0,0,0,0,0,03-23-2020
47013.0,2,0,0,0,03-23-2020
51031.0,0,0,0,0,03-23-2020
56005.0,1,0,0,0,03-23-2020
40017.0,2,0,0,0,03-23-2020
13043.0,0,0,0,0,03-23-2020
47015.0,0,0,0,0,03-23-2020
16027.0,3,0,0,0,03-23-2020
29031.0,0,0,0,0,03-23-2020
34009.0,2,0,0,0,03-23-2020
30009.0,0,0,0,0,03-23-2020
42025.0,0,0,0,0,03-23-2020
49007.0,0,0,0,0,03-23-2020
56007.0,1,0,0,0,03-23-2020
16029.0,0,0,0,0,03-23-2020
21039.0,0,0,0,0,03-23-2020
27017.0,0,0,0,0,03-23-2020
24011.0,1,0,0,0,03-23-2020
51033.0,0,0,0,0,03-23-2020
5015.0,0,0,0,0,03-23-2020
13045.0,21,0,0,0,03-23-2020
17015.0,0,0,0,0,03-23-2020
18015.0,0,0,0,0,03-23-2020
19027.0,1,0,0,0,03-23-2020
21041.0,0,0,0,0,03-23-2020
24013.0,5,0,0,0,03-23-2020
28015.0,0,0,0,0,03-23-2020
29033.0,0,0,0,0,03-23-2020
33003.0,6,0,0,0,03-23-2020
39019.0,2,0,0,0,03-23-2020
47017.0,2,0,0,0,03-23-2020
51035.0,0,0,0,0,03-23-2020
48065.0,0,0,0,0,03-23-2020
32510.0,3,0,0,0,03-23-2020
21043.0,0,0,0,0,03-23-2020
