FIPS,hospitals,icu_beds
13313,1,34
13315,0,0
13317,1,0
13319,0,0
13321,1,0
15001,6,24
15003,8,148
15005,0,0
15007,3,9
15009,4,20
16001,3,105
16003,0,0
16005,1,20
16007,1,0
16009,1,0
16011,2,5
16013,1,0
16015,0,0
16017,1,4
16019,2,35
16021,1,0
16023,1,0
16025,0,0
16027,3,41
16029,1,0
16031,1,6
16033,0,0
16035,1,0
16037,0,0
16039,1,0
16041,1,0
16043,0,0
16045,1,0
16047,1,0
16049,2,0
16051,0,0
16053,1,0
16055,2,55
16057,1,0
16059,1,0
16061,0,0
16063,0,0
16065,1,4
16067,1,0
16069,1,9
16071,1,0
16073,0,0
16075,0,0
16077,1,0
16079,1,0
16081,1,0
16083,1,30
16085,2,0
16087,1,0
17001,1,25
17003,0,0
17005,1,0
17007,0,0
17009,0,0
17011,2,9
17013,0,0
17015,0,0
17017,0,0
17019,2,51
17021,2,0
17023,0,0
17025,1,0
17027,1,4
17029,1,9
17031,46,1606
17033,1,0
17035,0,0
17037,2,16
17039,1,0
17041,0,0
17043,6,257
17045,1,0
17047,0,0
17049,1,10
17051,1,4
17053,1,2
17055,1,0
17057,1,5
17059,0,0
17061,1,0
17063,1,8
17065,1,0
17067,1,0
17069,1,0
17071,0,0
17073,2,3
17075,1,0
17077,2,21
17079,0,0
17081,2,22
17083,1,4
17085,1,0
17087,0,0
17089,5,103
17091,2,56
17093,0,0
17095,2,18
17097,6,108
17099,3,13
17101,1,0
17103,1,6
17105,1,5
17107,1,0
17109,1,7
17111,2,33
17113,2,30
17115,2,65
17117,2,0
17119,5,58
17121,2,9
17123,0,0
17125,1,0
17127,1,0
17129,0,0
17131,1,0
17133,0,0
17135,2,0
17137,1,9
17139,0,0
17141,1,4
17143,3,107
17145,2,0
17147,1,0
17149,1,0
17151,0,0
17153,0,0
17155,0,0
17157,3,0
17159,1,8
17161,2,58
17163,4,42
17165,2,0
17167,2,99
17169,1,0
17171,0,0
17173,1,0
17175,0,0
17177,1,8
17179,2,8
17181,1,0
17183,2,12
17185,1,4
17187,1,0
17189,1,0
17191,1,4
17193,0,0
17195,2,9
17197,3,92
17199,2,26
17201,3,87
17203,1,0
18001,1,4
18003,6,170
18005,1,17
18007,0,0
18009,1,0
18011,1,8
18013,0,0
18015,0,0
18017,1,5
18019,1,25
18021,1,0
18023,1,0
18025,0,0
18027,1,5
18029,1,8
18031,1,0
18033,1,8
18035,1,36
18037,1,26
18039,2,35
18041,1,20
18043,2,16
18045,0,0
18047,1,7
18049,1,4
18051,1,5
18053,1,19
18055,1,5
18057,5,10
18059,1,24
18061,1,4
18063,3,39
18065,1,10
18067,2,13
18069,1,0
18071,1,7
18073,1,4
18075,1,0
18077,1,6
18079,1,0
18081,1,6
18083,1,30
18085,1,14
18087,1,0
18089,9,188
18091,2,34
18093,2,6
18095,3,21
18097,9,526
18099,2,7
18101,0,0
18103,1,4
18105,2,38
18107,1,5
18109,1,10
18111,0,0
18113,1,0
18115,0,0
18117,1,0
18119,0,0
18121,0,0
18123,1,4
18125,0,0
18127,1,32
18129,0,0
18131,1,0
18133,1,6
18135,1,0
18137,0,0
18139,1,0
18141,3,74
18143,1,4
18145,1,0
18147,0,0
18149,1,1
18151,1,2
18153,1,4
18155,0,0
18157,2,30
18159,1,0
18161,0,0
18163,2,154
18165,1,6
18167,2,54
18169,1,0
18171,1,0
18173,2,24
18175,1,0
18177,1,30
18179,1,7
18181,1,0
18183,1,0
19001,1,0
19003,1,0
19005,1,0
19007,1,3
19009,1,0
19011,1,0
19013,3,24
19015,1,3
19017,2,0
19019,1,0
19021,1,5
19023,0,0
19025,1,2
19027,2,6
19029,1,4
19031,0,0
19033,1,18
19035,1,0
19037,1,0
19039,1,0
19041,1,0
19043,2,0
19045,2,10
19047,1,0
19049,1,0
19051,1,0
19053,1,0
19055,1,0
19057,1,12
19059,1,3
19061,3,18
19063,1,0
19065,2,0
19067,1,0
19069,1,0
19071,1,0
19073,1,4
19075,1,0
19077,1,0
19079,1,0
19081,1,0
19083,1,0
19085,1,0
19087,1,0
19089,1,0
19091,1,0
19093,1,0
19095,1,0
19097,1,0
19099,1,4
19101,1,0
19103,2,95
19105,1,0
19107,1,0
19109,1,0
19111,2,10
19113,2,44
19115,0,0
19117,1,0
19119,1,0
19121,1,0
19123,1,0
19125,2,3
19127,1,0
19129,0,0
19131,1,0
19133,1,0
19135,1,0
19137,1,8
19139,1,5
19141,2,0
19143,1,0
19145,2,2
19147,1,0
19149,1,0
19151,1,0
19153,4,112
19155,2,29
19157,1,5
19159,1,0
19161,1,0
19163,2,46
19165,1,0
19167,4,0
19169,2,14
19171,0,0
19173,0,0
19175,1,4
19177,1,0
19179,1,11
19181,0,0
19183,1,0
19185,1,0
19187,1,8
19189,0,0
19191,1,0
19193,2,33
19195,0,0
19197,2,0
20001,1,0
20003,1,0
20005,1,4
20007,2,0
20009,3,4
20011,0,0
20013,1,0
20015,2,16
20017,0,0
20019,1,0
20021,2,0
20023,1,0
20025,1,0
20027,1,0
20029,1,0
20031,0,0
20033,1,0
20035,2,4
20037,2,12
20039,1,0
20041,2,0
20043,0,0
20045,1,10
20047,1,0
20049,0,0
20051,1,34
20053,1,0
20055,1,8
20057,2,10
20059,1,5
20061,1,6
20063,1,0
20065,1,0
20067,1,0
20069,0,0
20071,1,0
20073,1,0
20075,1,0
20077,1,0
20079,1,6
20081,1,0
20083,1,0
20085,1,0
20087,1,0
20089,1,0
20091,9,110
20093,1,0
20095,1,0
20097,1,0
20099,2,5
20101,1,0
20103,2,10
20105,1,0
20107,0,0
20109,1,0
20111,1,6
20113,3,7
20115,2,0
20117,1,0
20119,1,0
20121,1,0
20123,1,4
20125,1,7
20127,1,0
20129,1,0
20131,2,0
20133,1,5
20135,2,0
20137,1,0
20139,0,0
20141,1,0
20143,1,0
20145,1,0
20147,1,0
20149,2,0
