FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
39000,"786,160","2,639,478","2,305,877","2,205,570",9.9,33.3,29.1,27.8
39001,"3,942","8,258","4,285","2,437",20.8,43.6,22.6,12.9
39003,"7,192","26,653","22,997","12,347",10.4,38.5,33.2,17.8
39005,"4,033","15,148","8,770","7,468",11.4,42.8,24.8,21.1
39007,"9,608","30,434","18,792","9,666",14,44.4,27.4,14.1
39009,"3,827","12,773","9,148","10,892",10.4,34.9,25,29.7
39011,"2,110","13,513","9,455","5,842",6.8,43.7,30.6,18.9
39013,"4,832","21,588","15,921","8,192",9.6,42.7,31.5,16.2
39015,"3,814","13,953","8,213","4,305",12.6,46.1,27.1,14.2
39017,"23,331","79,198","67,045","72,022",9.7,32.8,27.8,29.8
39019,"2,233","9,458","5,370","2,677",11.3,47.9,27.2,13.6
39021,"2,501","12,720","7,548","3,990",9.3,47.5,28.2,14.9
39023,"11,551","33,945","29,653","17,195",12.5,36.8,32.1,18.6
39025,"13,641","45,984","40,592","38,958",9.8,33,29.2,28
39027,"3,236","11,146","8,473","5,244",11.5,39.7,30.2,18.7
39029,"9,076","33,589","20,811","11,056",12.2,45.1,27.9,14.8
39031,"3,979","12,229","5,899","3,149",15.8,48.4,23.4,12.5
39033,"2,872","13,518","8,780","4,376",9.7,45.8,29.7,14.8
39035,"93,264","245,164","257,850","279,259",10.7,28,29.5,31.9
39037,"3,294","17,172","9,688","5,185",9.3,48.6,27.4,14.7
39039,"2,072","11,388","8,119","4,320",8,44,31.3,16.7
39041,"4,222","24,222","30,233","69,867",3.3,18.8,23.5,54.4
39043,"4,331","20,267","16,821","12,194",8.1,37.8,31.4,22.7
39045,"7,872","34,633","32,438","28,000",7.6,33.6,31.5,27.2
39047,"2,713","9,238","4,450","3,154",13.9,47.2,22.8,16.1
39049,"76,705","210,382","228,179","333,337",9,24.8,26.9,39.3
39051,"2,527","11,842","9,327","4,911",8.8,41.4,32.6,17.2
39053,"3,769","8,427","5,353","3,173",18.2,40.7,25.8,15.3
39055,"6,077","16,085","17,486","24,452",9.5,25.1,27.3,38.1
39057,"7,391","27,141","33,323","43,370",6.6,24.4,30,39
39059,"3,865","12,071","7,575","3,877",14.1,44.1,27.7,14.2
39061,"49,310","144,453","150,363","203,222",9,26.4,27.5,37.1
39063,"3,999","18,696","15,157","13,765",7.7,36.2,29.4,26.7
39065,"2,022","9,283","4,689","3,175",10.5,48.4,24.5,16.6
39067,"1,568","5,311","3,025","1,111",14.2,48.2,27.5,10.1
39069,"1,302","8,109","5,971","3,382",6.9,43.2,31.8,18
39071,"4,631","13,285","7,687","3,683",15.8,45.4,26.2,12.6
39073,"2,063","8,966","6,033","2,961",10.3,44.8,30.1,14.8
39075,"10,761","8,426","3,934","2,253",42.4,33.2,15.5,8.9
