state,county,category,change,changecalc,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
Oregon,Wasco County,Retail & recreation,-33,-34.03054500000001,6.64,27.665,8.989,14.482,16.489,8.701,5.31,7.263,20.607,7.931,9.146,8.637,9.944,3.472,-18.053,-13.832,1.586,-20.071,-18.713,-26.104,-23.897,-29.05,-23.995,-30.668,-44.715,-38.735,-42.512,-46.569,-50.631,-47.143,-42.301,-42.175,-34.024,-39.28,-33.701,-46.066,-42.626,-33.841,-35.315,-29.837,-30.827,-35.743,-34.031
Oregon,Wasco County,Grocery & pharmacy,1,1.031355000000005,7.632,14.745,1.773,7.945,6.758,12.028,6.608,2.269,19.977,8.422,1.324,7.69,12.482,20.211,5.569,2.378,23.493,7.504,8.622,5.674,7.774,1.031,4.281,-5.762,-22.952,-15.846,-12.482,-17.491,-20.833,-23.307,-23.05,-16.993,-4.894,-13.843,-3.887,-18.358,-17.123,-11.525,-18.98,-17.944,-9.759,-8.551,1.031
Oregon,Wasco County,Workplace,-31,-32.552083333333336,-6.51,-1.096,1.286,0.823,,0.823,5.762,,-2.193,2.572,1.647,-2.042,-1.647,-7.535,-14.881,-8.772,-17.147,-24.292,-26.552,-27.586,-28.369,-28.832,-28.509,-36.437,-40.761,-43.709,-42.408,-40.78,-34.412,-42.763,-41.152,-43.643,-42.484,-44.055,-41.223,-36.272,-41.667,-38.58,-40.761,-41.667,-42.408,-42.11,-32.552
Oregon,Washington County,Retail & recreation,-47,-49.023818333333345,4.162,7.356,6.284,5.606,5.548,3.576,-0.805,0.915,2.284,5.793,3.38,5.975,4.45,-2.467,-21.484,-15.955,-5.465,-22.924,-26.19,-29.332,-33.23,-44.059,-43.979,-40.81,-50.653,-48.091,-49.019,-52.083,-57.45,-55.29,-46.526,-44.371,-44.812,-46.635,-48.108,-54.244,-50.558,-44.318,-44.319,-42.554,-42.731,-44.157,-49.024
Oregon,Washington County,Grocery & pharmacy,-15,-15.994460000000004,2.837,2.765,1.919,4.59,1.435,1.678,-6.366,-4.583,-4.915,-1.58,-1.323,1.474,18.844,22.649,0.062,-3.242,14.521,9.53,3.957,3.745,-1.34,-13.251,-18.601,-16.515,-24.0,-24.674,-21.341,-26.335,-30.586,-32.629,-27.387,-18.943,-19.631,-19.195,-21.041,-24.88,-24.164,-23.963,-19.721,-18.932,-15.645,-15.915,-15.994
Oregon,Washington County,Parks,47,49.210631666666664,4.496,17.057,2.126,35.62,71.123,32.964,-22.448,16.986,25.788,68.635,79.622,73.326,40.348,-16.142,-21.733,21.321,70.76,82.914,109.202,87.553,86.007,93.675,46.499,-12.148,-17.96,17.938,-5.802,-31.275,-5.745,-5.889,-13.97,23.048,11.015,-0.264,-3.783,8.743,35.534,34.621,53.879,76.788,56.171,47.165,49.211
Oregon,Washington County,Transit stations,-43,-44.44705999999999,1.958,12.928,-2.48,-0.631,1.515,0.499,-2.151,-2.154,5.967,-0.261,-3.909,-3.662,-10.354,-15.188,-26.433,-19.64,-27.934,-36.194,-40.404,-42.54,-36.559,-34.657,-34.059,-53.389,-59.524,-56.692,-59.381,-56.989,-52.867,-49.224,-58.349,-57.632,-55.556,-58.633,-54.435,-49.538,-42.512,-55.086,-55.614,-54.167,-55.015,-49.731,-44.447
Oregon,Washington County,Workplace,-39,-41.06765666666666,2.894,2.521,3.122,1.084,0.279,,-0.39,2.335,-0.762,0.793,-0.786,-2.523,-5.818,-11.069,-10.863,-13.072,-31.881,-39.766,-43.71,-46.047,-46.633,-28.681,-34.351,-52.067,-57.755,-58.832,-59.659,-59.059,-40.103,-42.734,-58.641,-59.923,-60.658,-61.308,-60.178,-40.408,-43.906,-59.665,-60.756,-61.2,-61.386,-61.313,-41.068
Oregon,Washington County,Residential,14,14.373181666666664,-0.626,-0.755,0.105,0.354,0.067,0.304,1.11,0.336,0.123,0.311,0.698,0.896,2.648,5.782,7.423,5.46,10.726,15.33,16.82,18.086,18.598,10.734,10.076,20.244,24.571,24.425,25.326,26.717,16.327,14.197,23.204,24.263,24.886,25.813,26.06,15.966,13.127,22.865,24.283,23.821,24.282,25.026,14.373
Oregon,Yamhill County,Retail & recreation,-34,-35.741589999999995,9.493,25.519,12.178,12.16,12.5,9.358,4.12,7.9,18.813,13.579,11.511,9.054,9.895,2.575,-10.958,5.052,1.927,-16.78,-18.99,-22.168,-24.915,-31.027,-22.732,-32.678,-42.964,-39.503,-41.805,-45.517,-48.993,-43.374,-40.388,-34.695,-35.497,-35.822,-38.435,-44.916,-35.622,-33.992,-32.912,-32.452,-31.68,-34.121,-35.742
