FIPS,total_pop,60plus
13015,102623,18389
13017,17272,3982
13019,19014,4266
13021,153923,31993
13023,12779,2860
13025,18411,3792
13027,15629,4099
13029,34883,4985
13031,73742,11463
13033,22645,4540
13035,23556,4813
13037,6503,1362
13039,52252,8503
13043,10894,2476
13045,114898,20423
13047,65870,14752
13049,12963,2473
13051,285506,56014
13053,11096,645
13055,24880,5705
13057,235896,42210
13059,123554,17345
13061,3024,937
13063,274150,36959
13065,6788,1466
13067,739072,120689
13069,43048,7860
13071,45890,8918
13073,143723,26092
13075,17190,3527
13077,138015,25269
13079,12385,2798
13081,23005,5331
13083,16282,4079
13085,23397,6208
13087,27023,5831
13089,736066,121505
13091,21063,4726
13093,14053,3522
13095,91522,18997
13097,140152,22028
13099,10405,2739
13101,4011,681
13103,57087,9061
13105,19288,5092
13107,22502,4782
13109,10757,2260
13111,24480,8800
13113,110306,25277
13115,96471,20941
13117,211300,33215
13119,22328,5691
13121,1010420,159840
13123,29614,9166
13125,3027,713
13127,83467,20679
13129,56424,10941
13131,25048,5593
13133,16732,6034
13135,889954,122430
13137,43878,10665
13139,192865,36793
13141,8667,2435
13143,28722,6357
13145,33198,7948
13147,25535,7015
13149,11607,2692
13151,217506,34127
13153,150341,25522
13155,9278,2170
13157,63851,12724
13159,13732,3116
13161,14999,3219
13163,15954,3828
13165,8929,2049
13167,9800,2334
13169,28540,6333
13171,18282,3955
13173,10388,1972
13175,47451,10610
13177,29216,4964
13179,62120,7447
13181,7768,2318
13183,17857,2398
13185,113941,17921
13187,31567,7478
13189,21488,4855
13191,14061,4475
13193,13675,2925
13195,28600,6721
13197,8558,2190
13199,21152,5261
13201,5884,1561
13205,22574,4919
13207,26795,6594
13209,8962,1891
13211,18013,4678
13213,39444,7520
13215,198647,34483
13217,105042,18455
13219,35972,7602
13221,14654,3441
13223,152399,21365
13225,27027,5201
13227,30343,8464
13229,19141,4228
13231,17919,3658
13233,41444,8705
13235,11396,2806
13237,21430,6275
13239,2140,913
13241,16354,5564
13243,7206,2258
13245,201568,38152
13247,88482,17124
13249,5168,1100
13251,14037,3450
13253,8549,2541
13255,64192,14777
13257,25625,6327
13259,5832,1209
13261,30687,6539
13263,6423,2045
13265,1844,511
13267,25402,4769
13269,8267,2020
13271,16339,3802
13273,8978,2148
13275,44909,10319
13277,40531,8091
13279,27160,5815
13281,11173,4566
13283,6752,1666
13285,69433,13380
13287,8036,2004
13289,8323,2395
13291,22262,8856
13293,26241,6294
13295,68609,16583
13297,88695,17821
13299,35688,7974
13301,5410,1586
13303,20506,4483
13305,29833,6149
13307,2627,671
13309,7952,1550
13311,28509,7553
13313,103963,18625
13315,8896,1960
13317,9905,2863
13319,9147,2285
13321,20809,5131
15001,196325,52582
15003,990060,218287
15005,86,27
15007,71093,18043
15009,164094,37939
16001,435117,80856
16003,3946,1513
16005,84113,15750
16007,5942,1565
16009,9050,2780
16011,45369,8667
16013,21583,5080
16015,6968,2461
16017,41855,13317
16019,110404,20000
16021,11323,3394
16023,2613,807
16025,886,267
16027,207027,36810
16029,6862,1645
16031,23472,4324
16033,1055,184
16035,8533,3035
16037,4141,1641
16039,26232,4586
16041,13120,2458
16043,12889,2942
16045,16850,4887
16047,15110,3215
16049,16275,5638
16051,27410,4382
16053,23039,4145
16055,150128,36910
16057,38697,6552
16059,7755,2895
16061,3824,1252
16063,5296,973
16065,38241,3374
