name,level,city,county,state,country_code,population,lat,long,url,aggregate,tz,cases,deaths,recovered,active,tested,growthFactor,date,country,location
"Fujian, China",state,,,Fujian,China,36894216.0,25.9245,118.2875,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,351.0,1.0,311.0,39.0,,,2020-04-10,,Fujian
"Fujian, China",state,,,Fujian,China,36894216.0,25.9245,118.2875,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,351.0,1.0,311.0,39.0,,,2020-04-11,,Fujian
"Gansu, China",state,,,Gansu,China,25575254.0,37.6965,100.525,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,139.0,2.0,135.0,2.0,,,2020-04-10,,Gansu
"Gansu, China",state,,,Gansu,China,25575254.0,37.6965,100.525,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,139.0,2.0,135.0,2.0,,,2020-04-11,,Gansu
"Guangdong, China",state,,,Guangdong,China,113460000.0,22.8685,113.4885,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1544.0,8.0,1434.0,102.0,,,2020-04-10,,Guangdong
"Guangdong, China",state,,,Guangdong,China,113460000.0,22.8685,113.4885,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1544.0,8.0,1434.0,102.0,,,2020-04-11,,Guangdong
"Guangxi, China",state,,,Guangxi,China,46026629.0,23.643500000000003,108.2725,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,254.0,2.0,252.0,,,,2020-04-10,,Guangxi
"Guangxi, China",state,,,Guangxi,China,46026629.0,23.643500000000003,108.2725,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,254.0,2.0,252.0,,,,2020-04-11,,Guangxi
"Guizhou, China",state,,,Guizhou,China,35800000.0,26.922,106.5875,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,146.0,2.0,144.0,,,,2020-04-10,,Guizhou
"Guizhou, China",state,,,Guizhou,China,35800000.0,26.922,106.5875,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,146.0,2.0,144.0,,,,2020-04-11,,Guizhou
"Hainan, China",state,,,Hainan,China,9171300.0,14.5155,112.068,https://github.com/CSSEGISandData/COVID-19,state,Etc/GMT-7,168.0,6.0,162.0,,,,2020-04-10,,Hainan
"Hainan, China",state,,,Hainan,China,9171300.0,14.5155,112.068,https://github.com/CSSEGISandData/COVID-19,state,Etc/GMT-7,168.0,6.0,162.0,,,,2020-04-11,,Hainan
"Hebei, China",state,,,Hebei,China,71854202.0,39.3345,116.6525,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,327.0,6.0,313.0,8.0,,,2020-04-10,,Hebei
"Hebei, China",state,,,Hebei,China,71854202.0,39.3345,116.6525,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,327.0,6.0,313.0,8.0,,,2020-04-11,,Hebei
"Heilongjiang, China",state,,,Heilongjiang,China,38312224.0,48.4915,127.9795,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,638.0,13.0,470.0,155.0,,,2020-04-10,,Heilongjiang
"Heilongjiang, China",state,,,Heilongjiang,China,38312224.0,48.4915,127.9795,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,638.0,13.0,470.0,155.0,,,2020-04-11,,Heilongjiang
"Henan, China",state,,,Henan,China,96050000.0,33.873999999999995,113.499,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1276.0,22.0,1252.0,2.0,,,2020-04-10,,Henan
"Henan, China",state,,,Henan,China,96050000.0,33.873999999999995,113.499,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1276.0,22.0,1252.0,2.0,,,2020-04-11,,Henan
Hong Kong,country,,,,Hong Kong,7500700.0,22.3575,114.1325,https://github.com/CSSEGISandData/COVID-19,country,Asia/Hong_Kong,989.0,4.0,309.0,676.0,,,2020-04-10,,
Hong Kong,country,,,,Hong Kong,7500700.0,22.3575,114.1325,https://github.com/CSSEGISandData/COVID-19,country,Asia/Hong_Kong,989.0,4.0,309.0,676.0,,,2020-04-11,,
"Hubei, China",state,,,Hubei,China,58160000.0,31.155,112.249,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,67803.0,3216.0,64236.0,351.0,,,2020-04-10,,Hubei
"Hubei, China",state,,,Hubei,China,58160000.0,31.155,112.249,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,67803.0,3216.0,64236.0,351.0,,,2020-04-11,,Hubei
"Hunan, China",state,,,Hunan,China,65683722.0,27.3865,111.51799999999999,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1019.0,4.0,1014.0,1.0,,,2020-04-10,,Hunan
"Hunan, China",state,,,Hunan,China,65683722.0,27.3865,111.51799999999999,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1019.0,4.0,1014.0,1.0,,,2020-04-11,,Hunan
"Inner Mongolia, China",state,,,Inner Mongolia,China,24706321.0,45.37,111.6195,https://github.com/CSSEGISandData/COVID-19,state,Asia/Ulaanbaatar,128.0,1.0,79.0,48.0,,,2020-04-10,,Inner Mongolia
"Inner Mongolia, China",state,,,Inner Mongolia,China,24706321.0,45.37,111.6195,https://github.com/CSSEGISandData/COVID-19,state,Asia/Ulaanbaatar,128.0,1.0,79.0,48.0,,,2020-04-11,,Inner Mongolia
"Jiangsu, China",state,,,Jiangsu,China,78659903.0,32.9515,119.1565,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,651.0,,634.0,17.0,,,2020-04-10,,Jiangsu
"Jiangsu, China",state,,,Jiangsu,China,78659903.0,32.9515,119.1565,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,651.0,,634.0,17.0,,,2020-04-11,,Jiangsu
