FIPS,hospitals,icu_beds,total_pop,60plus,
22071,5,111,388182,74618,
22073,4,88,156433,30466,
22075,0,0,23394,4024,
22077,1,0,22271,5833,
22079,3,26,132080,27820,
22081,1,0,8723,2085,
22083,2,2,20619,4470,
22085,1,0,24145,6342,
22087,1,8,45067,6771,
22089,1,8,52728,9258,
22091,1,0,10509,2784,
22093,1,0,21485,4921,
22095,0,0,43565,8070,
22097,1,16,83580,17636,
22099,1,0,53609,10425,
22101,2,15,52578,11173,
22103,6,149,249201,55158,
22105,4,64,128850,24738,
22107,0,0,4771,1350,
22109,3,26,113067,21180,
22111,2,0,22537,6027,
22113,2,6,59841,11580,
22115,1,7,51906,7791,
22117,2,13,46449,11494,
22119,2,16,40043,10020,
22121,0,0,25518,4884,
22123,1,0,11274,2783,
22125,1,0,15376,3049,
22127,1,5,14631,3354,
23001,2,54,107317,24289,
23003,4,12,68840,20453,
23005,4,72,289173,68027,
23007,1,5,30177,8571,
23009,3,6,54468,16940,
23011,2,16,121289,31337,
23013,1,8,39700,12268,
23015,1,4,34021,11973,
23017,2,6,57230,16027,
23019,4,51,152284,36356,
23021,2,0,16960,5761,
23023,0,0,35149,9471,
23025,2,4,50994,13707,
23027,1,4,39280,11094,
23029,2,0,31822,9959,
23031,2,14,201454,52544,
24001,1,15,72591,18311,
24003,2,53,564600,111090,
24005,5,123,828637,186412,
24009,1,4,90824,18153,
24011,0,0,32785,6877,
24013,1,10,167319,36730,
24015,1,5,102416,21069,
24017,1,10,156021,26064,
24019,0,0,32386,8893,
24021,1,18,246105,46881,
24023,1,2,29516,8442,
24025,2,19,250132,53295,
24027,1,16,312495,57302,
24029,1,6,19666,6220,
24031,6,150,1039198,209461,
24033,5,89,905161,159437,
24035,0,0,49071,12065,
24037,1,12,110979,18983,
24039,1,0,25801,5570,
24041,1,16,37461,12868,
24043,1,48,149546,33148,
24045,1,24,102014,21277,
24047,1,6,51559,17655,
24510,12,508,619796,115716,
25001,2,34,213900,80676,
25003,2,24,127751,37339,
25005,4,96,557016,124173,
25007,1,0,17275,5109,
25009,5,98,775860,173485,
25011,1,6,70926,19773,
25013,5,119,469188,103567,
25015,1,11,161197,34945,
25017,11,216,1582857,319971,
25019,1,0,10912,2283,
25021,4,59,694389,155147,
25023,3,47,509114,119899,
25025,10,447,780685,125537,
25027,8,169,818249,170081,
26001,0,0,10413,4705,
26003,1,0,9254,3126,
26005,1,0,114145,24717,
26007,1,9,28730,8520,
26009,0,0,23133,8100,
26011,1,5,15238,4939,
26013,1,0,8580,2373,
26015,1,0,59607,14931,
26017,1,32,105350,27300,
26019,1,0,17462,5771,
26021,2,20,154948,39067,
26023,1,10,43543,10379,
26025,2,32,134327,31227,
26027,1,0,51397,13966,
26029,1,0,26160,8123,
26031,0,0,25475,8824,
26033,1,6,38023,8659,
26035,1,0,30597,9532,
26037,1,2,77321,16938,
26039,1,6,13821,4436,
26041,1,9,36395,10991,
26043,1,6,25694,7463,
26045,2,0,108586,26110,
26047,1,58,32978,9255,
26049,3,151,410881,93094,
26051,1,0,25324,8522,
26053,1,5,15577,5016,
26055,1,20,91222,23009,
26057,1,0,41319,9162,
26059,1,4,45909,11598,
26061,2,5,36333,8122,
26063,3,4,31750,10169,
26065,2,219,286185,51447,
26067,1,2,64147,12876,
26069,1,4,25317,9417,
26071,1,3,11291,4274,
26073,1,8,70572,11665,
26075,1,51,158989,36118,
26077,2,34,259830,51450,
26079,1,0,17358,4698,
26081,3,150,636376,115828,
26083,0,0,2136,907,
26085,0,0,11669,4182,
26087,1,10,88205,20857,
26089,0,0,21564,8279,
26091,2,0,98585,23897,
26093,2,8,186946,41663,
26095,1,0,6406,1804,
26097,1,0,10836,3817,
26099,4,122,864019,192977,
26101,1,0,24432,8002,
26103,2,30,67145,16470,
26105,1,6,28800,8675,
26107,1,4,43181,10289,
26109,0,0,23389,7186,
26111,1,26,83489,19242,
26113,0,0,14982,4031,
26115,1,0,149619,35206,
26117,4,12,62956,14301,
26119,0,0,9290,3665,
26121,1,37,172707,37993,
26123,1,9,47899,12202,
26125,12,409,1241860,273867,
26127,1,0,26317,7218,
26129,1,10,20979,6773,
26131,1,0,6072,2710,
26133,1,4,23221,6243,
26135,0,0,8304,2898,
26137,1,4,24247,6554,
26139,3,22,280243,54457,
26141,0,0,12854,5142,
26143,0,0,23934,9877,
26145,3,133,193803,47390,
26147,3,23,159761,38914,
26149,2,8,60890,14461,
26151,3,0,41535,11385,
26153,1,0,8114,2847,
26155,1,7,68617,16363,
26157,2,0,53569,14012,
26159,2,0,75190,18230,
26161,4,92,361509,65781,
26163,14,586,1763822,362535,
26165,1,6,32915,8300,
27001,1,4,15841,6467,
27003,1,35,344861,63313,
27005,1,8,33552,9157,
27007,2,10,45847,9482,
27009,0,0,39360,7326,
27011,2,0,5039,1693,
27013,1,29,65767,12070,
27015,3,0,25243,6857,
27017,2,6,35408,8198,
27019,1,25,98799,15454,
27021,1,0,28810,9475,
27023,1,0,12040,3359,
27025,1,10,54297,10806,
27027,0,0,62040,10982,
27029,1,0,8824,2327,
27031,1,0,5270,1941,
27033,2,0,11437,3290,
27035,2,16,63505,17980,
